Type (Common / Preferred / ETF),Ticker,Descripción
Common,APTV,
Common,BG,
Common,BSX,
Common,CBRE,
Common,CHD,
Common,CMCSA,
Common,COIN,
Common,COST,
Common,CPRT,
Common,CRH,
Common,CSGP,
Common,CTSH,
Common,CVNA,
Common,DECK,
Common,DIS,
Common,EQT,
Common,EXE,
Common,GM,
Common,HBAN,
Common,HII,
Common,HPE,
Common,ICE,
Common,LDOS,
Common,LITE,
Common,LVS,
Common,MMC,
Common,MU,
Common,NEM,
Common,NFLX,
Common,NRG,
Common,NVDA,
Common,ORCL,
Common,PG,
Common,PNR,
Common,PODD,
Common,REGN,
Common,STZ,
Common,T,
Common,TPR,
Common,TSCO,
Common,UAL,
Common,UBER,
Common,VICI,
Common,VST,
Common,WFC,
Common,WMT,
Common,WTW,
Common,WY,
Common,WYNN,
Common,ZTS,
