Ticker,% Rec Compra,Ret Potencial,Precio Objetivo,Descripción
APTV,100.0%,26.5%,76.60,
GM,93.5%,24.5%,96.48,
HBAN,100.0%,14.1%,20.14,
WFC,97.0%,13.0%,97.75,
PNR,83.3%,33.8%,102.47,
HII,100.0%,31.1%,383.45,
LDOS,100.0%,46.5%,163.38,
CPRT,92.3%,45.4%,40.00,
TSCO,100.0%,43.5%,44.45,
CVNA,92.3%,39.5%,91.77,
TPR,100.0%,22.0%,171.70,
DECK,89.3%,18.0%,125.05,
LVS,100.0%,44.9%,68.04,
WYNN,100.0%,36.1%,136.63,
WMT,98.0%,23.4%,140.57,
COST,97.5%,20.0%,1099.74,
EXE,100.0%,46.9%,130.19,
EQT,100.0%,41.1%,69.04,
WY,92.3%,33.0%,31.27,
VICI,100.0%,28.7%,33.84,
COIN,88.1%,43.4%,230.58,
ICE,100.0%,36.8%,191.71,
STZ,91.7%,27.5%,170.95,
BG,100.0%,24.9%,142.75,
BSX,100.0%,65.1%,74.59,
PODD,100.0%,45.1%,234.83,
PG,96.4%,10.8%,163.16,
CHD,95.5%,8.6%,104.35,
WTW,100.0%,16.2%,333.75,
MRSH,96.0%,11.8%,198.91,
NEM,100.0%,45.6%,140.78,
CRH,100.0%,37.7%,144.68,
NFLX,100.0%,55.8%,114.83,
DIS,97.4%,36.9%,130.86,
ZTS,100.0%,44.0%,108.80,
REGN,100.0%,23.8%,825.14,
CSGP,95.2%,64.0%,46.80,
CBRE,100.0%,28.3%,179.08,
MU,100.0%,59.7%,1578.14,
NVDA,98.8%,43.2%,302.18,
ORCL,98.0%,82.9%,257.18,
CTSH,100.0%,73.8%,76.08,
LITE,100.0%,41.3%,1137.05,
HPE,100.0%,41.3%,68.60,
T,96.8%,41.3%,30.54,
CMCSA,90.9%,38.4%,32.76,
UBER,98.4%,42.0%,105.83,
UAL,100.0%,22.0%,147.69,
NRG,100.0%,44.6%,203.12,
VST,100.0%,43.9%,228.61,
